movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
movie_1,user_14887,3.0,830155608,0,1995,Adventure,Animation,Children,10759,3.91,0.89,349.0,590.0,150.0,592.0,,6,1992,2.64,3.67,0.52,Drama,Action,Thriller,Adventure,Crime
movie_10,user_11888,1.0,845674484,0,1995,Action,Adventure,Thriller,6330,3.42,0.87,318.0,480.0,231.0,595.0,588.0,22,1993,1.7,3.36,1.14,Comedy,Thriller,Adventure,Crime,Action
movie_10,user_27990,4.0,1197772963,1,1995,Action,Adventure,Thriller,6330,3.42,0.87,231.0,316.0,595.0,165.0,648.0,46,1989,12.99,3.37,1.0,Drama,Adventure,Crime,Thriller,Comedy
movie_135,user_27108,5.0,865275107,1,1996,Comedy,,,1390,3.0,1.06,802.0,104.0,653.0,494.0,260.0,25,1994,3.76,3.52,1.33,Action,Thriller,Adventure,Sci-Fi,Romance
movie_15,user_23843,4.0,839634055,1,1995,Action,Adventure,Romance,634,2.71,1.06,585.0,468.0,381.0,303.0,529.0,100,1993,5.75,3.58,0.68,Drama,Thriller,Romance,Comedy,Action
movie_150,user_21259,4.0,1083866104,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,592.0,457.0,480.0,356.0,593.0,13,1986,17.0,4.35,0.97,Comedy,Thriller,Action,Crime,Drama
movie_150,user_26112,4.0,966792800,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,933.0,431.0,589.0,50.0,111.0,72,1987,15.91,3.36,0.92,Romance,Comedy,Drama,Crime,Thriller
movie_162,user_23843,4.0,839631925,1,1994,Documentary,,,1303,4.05,0.95,563.0,73.0,515.0,159.0,261.0,81,1992,6.96,3.75,1.1,Drama,Romance,Thriller,Comedy,Children
movie_165,user_20158,4.5,1155354279,1,1995,Action,Crime,Thriller,7392,3.5,0.89,648.0,50.0,377.0,608.0,32.0,29,1991,8.12,3.78,0.91,Thriller,Action,Adventure,Drama,Crime
movie_17,user_675,3.0,866213736,0,1995,Drama,Romance,,4556,3.97,0.94,32.0,,,,,3,1995,0.58,3.0,1.0,Sci-Fi,Thriller,Mystery,,
movie_173,user_28135,3.0,850846407,0,1995,Action,Crime,Sci-Fi,3208,2.56,1.02,924.0,234.0,912.0,368.0,153.0,62,1991,8.77,3.69,0.82,Drama,Comedy,Thriller,Romance,Adventure
movie_176,user_17401,3.0,953843256,0,1995,Comedy,,,505,3.89,0.85,953.0,919.0,968.0,260.0,858.0,59,1989,12.72,3.42,0.95,Comedy,Thriller,Action,Drama,Crime
movie_186,user_2162,3.0,836418422,0,1995,Comedy,Romance,,2425,2.89,0.99,377.0,440.0,11.0,589.0,480.0,37,1993,1.49,3.81,1.0,Drama,Adventure,Action,Thriller,Romance
